id,field,name
738,xp.mor_bank_religious_contributor,Charity- Religious Contributions
739,xp.mor_bank_political_contributor,Charity- Political Causes
740,xp.mor_bank_health_and_institution_contributor,Charity- Health 
741,xp.mor_bank_general_contributor,Charity- General 
1011,xpbb.behaviorbank_donates_to_environmental_causes,Environmental Charity
1013,xpbb.behaviorbank_contributes_to_charities,Contributes to Charity
1116,xpbb.behaviorbank_interest_in_volunteering,Volunteer
1372,xpbb.hhlifestylcontributionsanimal_wf_contribuition,Animal Welfare
1373,xpbb.hhlifestylcontributionschildrens_welfare,Children's Causes
1376,xpbb.hhlifestylcontributionsenvironmental,Environmental Charity
1377,xpbb.hhlifestylcontributionshealth_related,Health
1378,xpbb.hhlifestylcontributionshumanitarian,Humanitarian
1383,xpbb.hhlifestylcontributionsreligious_contributions,Religious
1384,xpbb.hhlifestylcontributionssocial_services,Social Services
