field_id,field,name,explanation
53,vb.voterbase_age,Age,"Indicates the individual's age, if available, and calculated from the VoterBase Date of Birth"
55,vb.voterbase_gender,Gender,"Multi-sourced gender code (voter file, or commercially-appended)"
56,vb.voterbase_race,Race,"Multi-sourced race code (voter file, or commercially-appended)"
57,vb.voterbase_marital_status,Marital Status,Inidcates whether the individual is married or unmarried
63,vb.vf_yob,Year of Birth,Voter file-sourced year of birth
251,vb.etech_ethnic_rollup,Ethnicity,"Indicates race associated with an individual surname, first name, and geographic location"
252,vb.etech_ethnic_detail,Country Of Origin,"Indicates ethnicity associated with an individual surname, first name, and geographic location. Breaks down the ethnic code of individual's surname to their country of origin."
253,vb.etech_religion,Religion,"Indicates religious affiliation associated with an individual surname, first name, and geographic location"
254,vb.etech_country_of_origin,Hispanic Country of Origin,Indicates country of origin for individuals whose Ethnic Rollup is coded as Hispanic
255,vb.etech_language_assimilation,Language Assimilation,"Identifies whether the individual thinks and speaks in their native tongue, or if they have assimilated to English"
256,vb.family_composition_code,Family Type,Indicates the family composition of the household
288,vb.education,Eduction,Indicates the highest level of education completed by the individual
495,tb.children_flg,Children,Indicates the known presence of children age 0-17 in the household
496,tb.num_children,Number of Children,Indicates the number of children age 0-17 living within the household
512,tb.gender_head_hh,Female Head of Household,Indicates the gender of the primary head of household
642,tb.college_age_flg,College Age In Household,Indicates the presence of an individual between 18-22 years old
646,tb.retiree_flg,Retiree in Household,Indicates the presence of an individual that is 65 years or older
811,xpg.number_of_children_in_living_unit,xpg.number_of_children_in_living_unit,Number of children in household information is calculated from the number of records in a household that indicate children whose age is 18 or younger.
812,xpg.children_presence_of_child_0-18,xpg.children_presence_of_child_0-18,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit."
813,xpg.children_age_0-3,xpg.children_age_0-3,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit."
814,xpg.children_age_0-3_score,xpg.children_age_0-3_score,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit. Probability Score = 001-100.  101 = Known."
815,xpg.children_age_0-3_gender,xpg.children_age_0-3_gender,Indicates the gender of the children within the 0-3 age group
816,xpg.children_age_4-6,xpg.children_age_4-6,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit."
817,xpg.children_age_4-6_score,xpg.children_age_4-6_score,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit. Probability Score = 001-100.  101 = Known."
818,xpg.children_age_4-6_gender,xpg.children_age_4-6_gender,Indicates the gender of the children within the 4-6 age group
819,xpg.children_age_7-9,xpg.children_age_7-9,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit."
820,xpg.children_age_7-9_score,xpg.children_age_7-9_score,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit. Probability Score = 001-100.  101 = Known."
821,xpg.children_age_7-9_gender,xpg.children_age_7-9_gender,Indicates the gender of the children within the 7-9 age group
822,xpg.children_age_10-12,xpg.children_age_10-12,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit."
823,xpg.children_age_10-12_score,xpg.children_age_10-12_score,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit. Probability Score = 001-100.  101 = Known."
824,xpg.children_age_10-12_gender,xpg.children_age_10-12_gender,Indicates the gender of the children within the 10-12 age group
825,xpg.children_age_13-15,xpg.children_age_13-15,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit."
826,xpg.children_age_13-15_score,xpg.children_age_13-15_score,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit. Probability Score = 001-100.  101 = Known."
827,xpg.children_age_13-15_gender,xpg.children_age_13-15_gender,Indicates the gender of the children within the 13-15 age group.
828,xpg.children_age_16-18,xpg.children_age_16-18,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit."
829,xpg.children_age_16-18_score,xpg.children_age_16-18_score,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit. Probability Score = 001-100.  101 = Known."
830,xpg.children_age_16-18_gender,xpg.children_age_16-18_gender,Indicates the gender of the children within the 16-18 age group
1037,xpbb.behaviorbank_active_military,Active Duty Military,Experian Field ID: 7012; Experian Datapoint Match Level: Household; Active military
1038,xpbb.propensity_active_military_code,xpbb.propensity_active_military_code,"Experian Field ID: 7373; Experian Datapoint Match Level: Household; Z Active Military ; Active Military Prop, Self reported data 8580 Z Active Military indicates a household has self reported as being Active Military. BehaviorBank Household Indicators gr"
1039,xpbb.behaviorbank_inactive_military,Inactive Military,Experian Field ID: 7013; Experian Datapoint Match Level: Household; Inactive military
1040,xpbb.propensity_inactive_military_code,xpbb.propensity_inactive_military_code,"Experian Field ID: 7375; Experian Datapoint Match Level: Household; Z Inactive Military ; Inact Military Prop,Self reported data 8581 Z Inactive Military indicates a household has self reported as being Inactive Military. BehaviorBank Household Indicator"
