id,field,name
1141,xpbb.hhacty_inthealth_fitnessechinacea,Echinacea
1142,xpbb.hhacty_inthealth_fitnessginkgo_biloba,Ginko Biloba
1143,xpbb.hhacty_inthealth_fitnessginseng,Ginseng
1144,xpbb.hhacty_inthealth_fitnessothr_health_fitness,Other Suppliments
1145,xpbb.hhacty_inthealth_fitnesssaw_palmetto,Palmetto
1146,xpbb.hhacty_inthealth_fitnessvalerian_root,Valerian Root
1147,xpbb.hhacty_inthealth_fitnesslosing_weight,Weight Loss
1148,xpbb.hhacty_inthealth_fitnessinclude_calcium,Calcium
1149,xpbb.hhacty_inthealth_fitnessreduce_caffeine,Lower Caffeine
1150,xpbb.hhacty_inthealth_fitnessvit_supplements,Vitimins and Supliments
1151,xpbb.hhacty_inthealth_fitnesshlth_nat_foods,Natural Foods
1152,xpbb.hhacty_inthealth_fitnessnatural_herbal_remedies,Herbal Remedies
1153,xpbb.hhacty_inthealth_fitnessvegetarian_meals,Vegetarian Meals
1154,xpbb.hhacty_inthealth_fitnessreduce_fat_cholesterol,Low Fat/ Cholestorol
1155,xpbb.hhacty_inthealth_fitnesslow_fat_lose_weight,Weigth Loss
1156,xpbb.hhacty_inthealth_fitnesslow_fat_healthier,Low Fat
1157,xpbb.hhacty_inthealth_fitnesslow_fat_other_reasons,Low Fat
1158,xpbb.hhacty_inthealth_fitnesseat_low_fat,Low Fat
1159,xpbb.hhacty_inthealth_fitnessinclude_high_fiber,High Fiber
1160,xpbb.hhacty_inthealth_fitnesslow_sugar,Low Sugar
1161,xpbb.hhacty_inthealth_fitnesslow_sodium,Low Sodium
1371,xpbb.hhlifestylcigar_smokingenjoys_smoking_cigars,Smoker
1442,xpbb.hhailment_medsvisioncontact_lenses,Contact Wearer
1443,xpbb.hhailment_medsvisioneye_glasses,Glasses
1444,xpbb.hhailment_medsvisionimpairment_correction,Vision Correction
