id,field,name
294,vb.license_hunting,Hunting
295,vb.license_fishing,Fishing
1165,xpbb.hhacty_inthobbieshome_decorating,Decorating & Furniture
1166,xpbb.hhacty_inthobbiesastrology_occult,Astrology
1167,xpbb.hhacty_inthobbieshome_workshop_diy,DIY
1168,xpbb.hhacty_inthobbiescrossword_puzzles,Crossword Puzzles
1169,xpbb.hhacty_inthobbiesflying,Flying
1170,xpbb.hhacty_inthobbiescars_and_auto_repair,Auto Repair
1171,xpbb.hhacty_inthobbiesbird_watching,Bird Watching
1172,xpbb.hhacty_inthobbiesself_improvement,Self Improvement
