category_id,category,field_id,field,name,explanation
1,Connectivity,49,vb.voterbase_phone,Phone,"Commercially-sourced/verified phone number. Use the associated field, vb.voterbase_phone_type, to determine the type of phone. Use the associated field, vb.voterbase_phone_last_validated, to determine the recency of the phone append.VOIP and landline a"
1,Connectivity,50,vb.voterbase_phone_wireless,Wireless Phone,Commercially-sourced/verified wireless phone number.
1,Connectivity,290,vb.personal_voice_social_networker_demi-decile,vb.personal_voice_social_networker_demi-decile,"Indicates the likelihood that the household actively participates in a ""personal voice"" social networking site such as a blog or Twitter. A value of 1 represents those most likely and 20 represents those least likely."
1,Connectivity,291,vb.professional_social_networker_demi-decile,vb.professional_social_networker_demi-decile,Indicates the likelihood that the household actively participates in a professional social networking site such as LinkedIn. A value of 1 represents those most likely and 20 represents those least likely.
1,Connectivity,292,vb.purely_social_networker_demi-decile,vb.purely_social_networker_demi-decile,Indicates the likelihood that the household actively participates in purely social networking sites such as Facebook or MySpace. A value of 1 represents those most likely and 20 represents those least likely.
1,Connectivity,293,vb.social_networker_demi-decile,vb.social_networker_demi-decile,Indicates the likelihood that the household actively participates in one or more types of social networks. A value of 1 represents those most likely and 20 represents those least likely.
1,Connectivity,526,tb.internet_type_cd,Internet Access,Provides the type of connection the household has for internet access
1,Connectivity,667,tb.person_online_flg,Online Presense,Indicates if the person has an online presence
1,Connectivity,668,tb.person_facebook_flg,Facebook,Indicates if the person is on Facebook
1,Connectivity,998,xpbb.behaviorbank_communication_connectivity,xpbb.behaviorbank_communication_connectivity,Experian Field ID: 4849; Experian Datapoint Match Level: Household; Communication/connectivity
1,Connectivity,999,xpbb.propensity_communication_connectivity_code,xpbb.propensity_communication_connectivity_code,"Experian Field ID: 5044; Experian Datapoint Match Level: Household; Communication ; Communication Propensity, Self reported data 8544 Z Communication ; Communication Propensity indicates a household's self-reported interest in Communication and Connectiv"
1,Connectivity,1455,cell.tsmart_wireless_source,Wireless Phone Vendor,Indicates the phone's vendor source
1,Connectivity,1468,cell.source2_cordcutter_indicator,Cordcutter,Source #2 flag for high likelihood of a mobile phone individual
2,Demographics,53,vb.voterbase_age,Age,"Indicates the individual's age, if available, and calculated from the VoterBase Date of Birth"
2,Demographics,55,vb.voterbase_gender,Gender,"Multi-sourced gender code (voter file, or commercially-appended)"
2,Demographics,56,vb.voterbase_race,Race,"Multi-sourced race code (voter file, or commercially-appended)"
2,Demographics,57,vb.voterbase_marital_status,Marital Status,Inidcates whether the individual is married or unmarried
2,Demographics,63,vb.vf_yob,Year of Birth,Voter file-sourced year of birth
2,Demographics,251,vb.etech_ethnic_rollup,Ethnicity,"Indicates race associated with an individual surname, first name, and geographic location"
2,Demographics,252,vb.etech_ethnic_detail,Country Of Origin,"Indicates ethnicity associated with an individual surname, first name, and geographic location. Breaks down the ethnic code of individual's surname to their country of origin."
2,Demographics,253,vb.etech_religion,Religion,"Indicates religious affiliation associated with an individual surname, first name, and geographic location"
2,Demographics,254,vb.etech_country_of_origin,Hispanic Country of Origin,Indicates country of origin for individuals whose Ethnic Rollup is coded as Hispanic
2,Demographics,255,vb.etech_language_assimilation,Language Assimilation,"Identifies whether the individual thinks and speaks in their native tongue, or if they have assimilated to English"
2,Demographics,256,vb.family_composition_code,Family Type,Indicates the family composition of the household
2,Demographics,288,vb.education,Eduction,Indicates the highest level of education completed by the individual
2,Demographics,495,tb.children_flg,Children,Indicates the known presence of children age 0-17 in the household
2,Demographics,496,tb.num_children,Number of Children,Indicates the number of children age 0-17 living within the household
2,Demographics,512,tb.gender_head_hh,Female Head of Household,Indicates the gender of the primary head of household
2,Demographics,642,tb.college_age_flg,College Age In Household,Indicates the presence of an individual between 18-22 years old
2,Demographics,646,tb.retiree_flg,Retiree in Household,Indicates the presence of an individual that is 65 years or older
2,Demographics,811,xpg.number_of_children_in_living_unit,xpg.number_of_children_in_living_unit,Number of children in household information is calculated from the number of records in a household that indicate children whose age is 18 or younger.
2,Demographics,812,xpg.children_presence_of_child_0-18,xpg.children_presence_of_child_0-18,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit."
2,Demographics,813,xpg.children_age_0-3,xpg.children_age_0-3,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit."
2,Demographics,814,xpg.children_age_0-3_score,xpg.children_age_0-3_score,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit. Probability Score = 001-100.  101 = Known."
2,Demographics,815,xpg.children_age_0-3_gender,xpg.children_age_0-3_gender,Indicates the gender of the children within the 0-3 age group
2,Demographics,816,xpg.children_age_4-6,xpg.children_age_4-6,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit."
2,Demographics,817,xpg.children_age_4-6_score,xpg.children_age_4-6_score,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit. Probability Score = 001-100.  101 = Known."
2,Demographics,818,xpg.children_age_4-6_gender,xpg.children_age_4-6_gender,Indicates the gender of the children within the 4-6 age group
2,Demographics,819,xpg.children_age_7-9,xpg.children_age_7-9,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit."
2,Demographics,820,xpg.children_age_7-9_score,xpg.children_age_7-9_score,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit. Probability Score = 001-100.  101 = Known."
2,Demographics,821,xpg.children_age_7-9_gender,xpg.children_age_7-9_gender,Indicates the gender of the children within the 7-9 age group
2,Demographics,822,xpg.children_age_10-12,xpg.children_age_10-12,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit."
2,Demographics,823,xpg.children_age_10-12_score,xpg.children_age_10-12_score,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit. Probability Score = 001-100.  101 = Known."
2,Demographics,824,xpg.children_age_10-12_gender,xpg.children_age_10-12_gender,Indicates the gender of the children within the 10-12 age group
2,Demographics,825,xpg.children_age_13-15,xpg.children_age_13-15,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit."
2,Demographics,826,xpg.children_age_13-15_score,xpg.children_age_13-15_score,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit. Probability Score = 001-100.  101 = Known."
2,Demographics,827,xpg.children_age_13-15_gender,xpg.children_age_13-15_gender,Indicates the gender of the children within the 13-15 age group.
2,Demographics,828,xpg.children_age_16-18,xpg.children_age_16-18,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit."
2,Demographics,829,xpg.children_age_16-18_score,xpg.children_age_16-18_score,"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit. Probability Score = 001-100.  101 = Known."
2,Demographics,830,xpg.children_age_16-18_gender,xpg.children_age_16-18_gender,Indicates the gender of the children within the 16-18 age group
2,Demographics,1037,xpbb.behaviorbank_active_military,Active Duty Military,Experian Field ID: 7012; Experian Datapoint Match Level: Household; Active military
2,Demographics,1038,xpbb.propensity_active_military_code,xpbb.propensity_active_military_code,"Experian Field ID: 7373; Experian Datapoint Match Level: Household; Z Active Military ; Active Military Prop, Self reported data 8580 Z Active Military indicates a household has self reported as being Active Military. BehaviorBank Household Indicators gr"
2,Demographics,1039,xpbb.behaviorbank_inactive_military,Inactive Military,Experian Field ID: 7013; Experian Datapoint Match Level: Household; Inactive military
2,Demographics,1040,xpbb.propensity_inactive_military_code,xpbb.propensity_inactive_military_code,"Experian Field ID: 7375; Experian Datapoint Match Level: Household; Z Inactive Military ; Inact Military Prop,Self reported data 8581 Z Inactive Military indicates a household has self reported as being Inactive Military. BehaviorBank Household Indicator"
3,Geography,29,vb.tsmart_city,City,"TargetSmart cleaned, updated city"
3,Geography,30,vb.tsmart_state,State,"TargetSmart cleaned, updated state"
3,Geography,31,vb.tsmart_zip,Zip ,"Cleaned, updated Registration Address Zip Code"
3,Geography,32,vb.tsmart_zip4,Zip +4,"Cleaned, updated Registration Address Zip Code 4-digit extension"
3,Geography,45,vb.tsmart_move_type,Address Type ,"NCOA-sourced flag indicating move type for Individual, Family and Business."
3,Geography,68,vb.vf_county_name,County Name,Name of County
3,Geography,72,vb.vf_township,Township Name,Township name FROM SOURCE
3,Geography,101,vb.tsmart_dma_name,Media Market/ DMA,Descriptive version of Designated Market Area (DMA) geography based on current Address
3,Geography,800,xpg.time_zone,Time Zone,Time Zone of address
